DIA;VDA_CMV
02/01/2015;7498,66
03/01/2015;10337,33
04/01/2015;3387,06
05/01/2015;3053,94
06/01/2015;8644,14
07/01/2015;4751,92
08/01/2015;9789,37
09/01/2015;9898,14
10/01/2015;14813,57
11/01/2015;6661,02
12/01/2015;4442,05
13/01/2015;5328,3
14/01/2015;4823,36
15/01/2015;5157,35
16/01/2015;9534,73
17/01/2015;16000,53
18/01/2015;5422,16
19/01/2015;2184,55
20/01/2015;7843,72
21/01/2015;13076,02
22/01/2015;4704,66
23/01/2015;7232,92
24/01/2015;12395,22
25/01/2015;4115,51
26/01/2015;3617,16
27/01/2015;3093,21
28/01/2015;4638,85
29/01/2015;3930,09
30/01/2015;7693,4
31/01/2015;13949,68
01/02/2015;4594,42
02/02/2015;3862,67
03/02/2015;3158,4
04/02/2015;4181,88
05/02/2015;5308,68
06/02/2015;8892,27
07/02/2015;13863,33
08/02/2015;4842,05
09/02/2015;3720,12
10/02/2015;5629,48
11/02/2015;5785
12/02/2015;6360,68
13/02/2015;12533,03
14/02/2015;17611,31
15/02/2015;5379,35
16/02/2015;9309,93
17/02/2015;2749,1
18/02/2015;3032,86
19/02/2015;5290,59
20/02/2015;7191,64
21/02/2015;14260,09
22/02/2015;6654,49
23/02/2015;1712,98
24/02/2015;3449,63
25/02/2015;2906,4
26/02/2015;5402,61
27/02/2015;7800,44
28/02/2015;14435,71
01/03/2015;4344,42
02/03/2015;1952,82
03/03/2015;3381,36
04/03/2015;4664,17
05/03/2015;6018,96
06/03/2015;9628,47
07/03/2015;14602,74
08/03/2015;4408,29
09/03/2015;2592,79
10/03/2015;2052,29
11/03/2015;2747,01
12/03/2015;3284,09
13/03/2015;8090,98
14/03/2015;10953,65
15/03/2015;3408,53
16/03/2015;1313,47
17/03/2015;2023,05
18/03/2015;2303,25
19/03/2015;3581,6
20/03/2015;8258,98
21/03/2015;13878,22
22/03/2015;4498,65
23/03/2015;1633,35
24/03/2015;1965,52
25/03/2015;2715,28
26/03/2015;3266,9
27/03/2015;7901,78
28/03/2015;11460,37
29/03/2015;3735,11
30/03/2015;1883,1
31/03/2015;3779,74
01/04/2015;5172,44
02/04/2015;13412,96
04/04/2015;16933,73
05/04/2015;3937,06
06/04/2015;2297,17
07/04/2015;3398,33
08/04/2015;3521,08
09/04/2015;4059,02
10/04/2015;8661,11
11/04/2015;12622,85
12/04/2015;3931,58
13/04/2015;1391,35
14/04/2015;3754,23
15/04/2015;3492,75
16/04/2015;3367,66
17/04/2015;7766,81
18/04/2015;15243,04
19/04/2015;5576,18
20/04/2015;7785,39
21/04/2015;4303,07
22/04/2015;3419,26
23/04/2015;3855,13
24/04/2015;5829,13
25/04/2015;12079,8
26/04/2015;3555,18
27/04/2015;1739,36
28/04/2015;3043,34
29/04/2015;5052,07
30/04/2015;8099,84
01/05/2015;7514,59
02/05/2015;12200,54
03/05/2015;5476,68
04/05/2015;2292,75
05/05/2015;2217,26
06/05/2015;3451,45
07/05/2015;3508,87
08/05/2015;6904,28
09/05/2015;14302,6
10/05/2015;4588,06
11/05/2015;1276,61
12/05/2015;3358,97
13/05/2015;2763,8
14/05/2015;3366,18
15/05/2015;5058,91
16/05/2015;9677,59
17/05/2015;3519,95
18/05/2015;1108,86
19/05/2015;1817,04
20/05/2015;3172,5
21/05/2015;3980,53
22/05/2015;5391,15
23/05/2015;11535,2
24/05/2015;3546,08
25/05/2015;1521,38
26/05/2015;1788,84
27/05/2015;2890,69
28/05/2015;2573,87
29/05/2015;5884,26
30/05/2015;9425,26
31/05/2015;3156,25
01/06/2015;1594,25
02/06/2015;2944,03
03/06/2015;7281,98
04/06/2015;5051,84
05/06/2015;12336,14
06/06/2015;13498,82
07/06/2015;3772,86
08/06/2015;1558,12
09/06/2015;1693,9
10/06/2015;3671,68
11/06/2015;4170,81
12/06/2015;4841,6
13/06/2015;11331,56
14/06/2015;3155,5
15/06/2015;1424,21
16/06/2015;1630,08
17/06/2015;2873,27
18/06/2015;3158,58
19/06/2015;5570,42
20/06/2015;10978,24
21/06/2015;3489,65
22/06/2015;1473,28
23/06/2015;1448,55
24/06/2015;2518,85
25/06/2015;2499,25
26/06/2015;5966,24
27/06/2015;10398,78
28/06/2015;3480,89
29/06/2015;1493,81
30/06/2015;2825,17
